file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,3e932f3a,Aryslanbek Vakilov,2025-10-17,16:43:23,-07:00,2025-10-17T16:43:23-07:00,0,38
style.css,2,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,3,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,40
style.css,4,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,5
style.css,5,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,6
style.css,6,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,16
style.css,7,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,8,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,9,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,45
style.css,10,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,3
style.css,11,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,12
style.css,12,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,62
style.css,13,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,18
style.css,14,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,44
style.css,15,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,66
style.css,16,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,33
style.css,17,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,18,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,19,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,44
style.css,20,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,5
style.css,21,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,6
style.css,22,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,17
style.css,23,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,43
style.css,24,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,38
style.css,25,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,15
style.css,26,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,15
style.css,27,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,28,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,29,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,45
style.css,30,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,11
style.css,31,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,34
style.css,32,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,33,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,34,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,35
style.css,35,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,13
style.css,36,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,43
style.css,37,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,65
style.css,38,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,16
style.css,39,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,40,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,41,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,51
style.css,42,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,4
style.css,43,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,35
style.css,44,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,21
style.css,45,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,1,10
style.css,46,css,d5efad79,Aryslanbek Vakilov,2025-10-17,16:36:52,-07:00,2025-10-17T16:36:52-07:00,0,0
style.css,47,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,0
style.css,48,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,18
style.css,49,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,14
style.css,50,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,16
style.css,51,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,0
style.css,52,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,16
style.css,53,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,0
resume.html,1,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,13
resume.html,2,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,3,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,4,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,40
resume.html,5,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,38
resume.html,6,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,5
resume.html,7,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,8,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,3
resume.html,9,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,27
